gene	GM_rep1	GM_rep2	GM_rep3	GM_rep4	OM_rep1	OM_rep2	OM_rep3	OM_rep4
Arntl	42.5258352627216	30.3190026832188	42.5258352627216	30.3190026832188	39.5351400437087	44.0070099364572	39.5351400437087	44.0070099364572
Bhlhe40	59.5361693678103	46.7778898541089	59.5361693678103	46.7778898541089	63.6000078964009	73.5742197375143	63.6000078964009	73.5742197375143
Foxi1	69.9313735431422	44.1791181955473	69.9313735431422	44.1791181955473	82.5081183520877	84.5759722216286	82.5081183520877	84.5759722216286
Hey2	32.1306310873897	26.8539738051366	32.1306310873897	26.8539738051366	29.2216252496977	32.3176479220857	29.2216252496977	32.3176479220857
Heyl	32.1306310873897	26.8539738051366	32.1306310873897	26.8539738051366	29.2216252496977	32.3176479220857	29.2216252496977	32.3176479220857
Nfyb	77.4915220342927	46.7778898541089	77.4915220342927	46.7778898541089	92.8216331460987	94.2025056452286	92.8216331460987	94.2025056452286
Nr2e3	22.6804454734515	21.6564304880134	22.6804454734515	21.6564304880134	22.3459487203571	21.3158954379714	22.3459487203571	21.3158954379714
Prdm14	24.5704825962392	25.1214593660955	24.5704825962392	25.1214593660955	24.0648678526922	23.3787240287429	24.0648678526922	23.3787240287429
Sox10	14.1752784209072	14.7263727318491	14.1752784209072	14.7263727318491	10.313514794011	11.6893620143714	10.313514794011	11.6893620143714
Sox14	13.2302598595134	15.5926299513696	13.2302598595134	15.5926299513696	10.313514794011	12.3769715446286	10.313514794011	12.3769715446286
Sox18	13.2302598595134	14.7263727318491	13.2302598595134	14.7263727318491	8.5945956616758	11.0017524841143	8.5945956616758	11.0017524841143
Sox5	15.120296982301	15.5926299513696	15.120296982301	15.5926299513696	13.7513530586813	13.0645810748857	13.7513530586813	13.0645810748857
Sox7	14.1752784209072	16.4588871708902	14.1752784209072	16.4588871708902	10.313514794011	12.3769715446286	10.313514794011	12.3769715446286
Sox8	14.1752784209072	16.4588871708902	14.1752784209072	16.4588871708902	10.313514794011	12.3769715446286	10.313514794011	12.3769715446286
Tfe3	51.0310023152659	32.0515171222598	51.0310023152659	32.0515171222598	48.1297357053845	53.6335433600572	48.1297357053845	53.6335433600572
Tfeb	51.0310023152659	32.9177743417804	51.0310023152659	32.9177743417804	48.1297357053845	54.3211528903143	48.1297357053845	54.3211528903143
Atoh1	23.6254640348453	29.4527454636982	23.6254640348453	29.4527454636982	15.4702721910164	20.6282859077143	15.4702721910164	20.6282859077143
Creb3	44.4158723855092	36.3828032198625	44.4158723855092	36.3828032198625	51.5675739700548	53.6335433600572	51.5675739700548	53.6335433600572
Gm28047	34.9656867715711	32.9177743417804	34.9656867715711	32.9177743417804	44.6918974407142	44.0070099364572	44.6918974407142	44.0070099364572
Mbtps2	35.9107053329649	28.5864882441777	35.9107053329649	28.5864882441777	41.2540591760439	42.6317908759429	41.2540591760439	42.6317908759429
Prdm4	36.8557238943587	33.7840315613009	36.8557238943587	33.7840315613009	36.0973017790384	40.5689622851715	36.0973017790384	40.5689622851715
Thap1	32.1306310873897	26.8539738051366	32.1306310873897	26.8539738051366	34.3783826467032	31.6300383918286	34.3783826467032	31.6300383918286
Trp73	28.3505568418144	26.8539738051366	28.3505568418144	26.8539738051366	27.5027061173626	26.1291621497714	27.5027061173626	26.1291621497714
Yy1	35.9107053329649	28.5864882441777	35.9107053329649	28.5864882441777	41.2540591760439	42.6317908759429	41.2540591760439	42.6317908759429
Yy2	35.9107053329649	28.5864882441777	35.9107053329649	28.5864882441777	41.2540591760439	42.6317908759429	41.2540591760439	42.6317908759429
Creb5	38.7457610171464	32.9177743417804	38.7457610171464	32.9177743417804	46.4108165730493	45.3822289969715	46.4108165730493	45.3822289969715
Cxxc1	34.9656867715711	25.9877165856161	34.9656867715711	25.9877165856161	42.972978308379	39.1937432246572	42.972978308379	39.1937432246572
Elk1	47.2509280696907	32.9177743417804	47.2509280696907	32.9177743417804	55.0054122347251	55.6963719508286	55.0054122347251	55.6963719508286
Neurod4	17.9553526664825	18.1914016099313	17.9553526664825	18.1914016099313	10.313514794011	13.0645810748857	10.313514794011	13.0645810748857
Neurog3	24.5704825962392	32.9177743417804	24.5704825962392	32.9177743417804	17.1891913233516	21.3158954379714	17.1891913233516	21.3158954379714
Olig3	20.7904083506639	21.6564304880134	20.7904083506639	21.6564304880134	17.1891913233516	24.7539430892572	17.1891913233516	24.7539430892572
Maf	21.7354269120577	25.9877165856161	21.7354269120577	25.9877165856161	22.3459487203571	18.5654573169429	22.3459487203571	18.5654573169429
Prox1	27.4055382804206	21.6564304880134	27.4055382804206	21.6564304880134	27.5027061173626	26.8167716800286	27.5027061173626	26.8167716800286
Prox2	27.4055382804206	21.6564304880134	27.4055382804206	21.6564304880134	27.5027061173626	26.8167716800286	27.5027061173626	26.8167716800286
Stat6	19.8453897892701	19.0576588294518	19.8453897892701	19.0576588294518	15.4702721910164	19.2530668472	15.4702721910164	19.2530668472
Tbx19	14.1752784209072	19.9239160489723	14.1752784209072	19.9239160489723	12.0324339263461	14.4398001354	12.0324339263461	14.4398001354
Zbtb1	27.4055382804206	26.8539738051366	27.4055382804206	26.8539738051366	32.659463514368	33.0052574523429	32.659463514368	33.0052574523429
Zfp128	37.8007424557525	38.1153176589036	37.8007424557525	38.1153176589036	48.1297357053845	63.9476863139143	48.1297357053845	63.9476863139143
Cebpe	17.0103341050886	18.1914016099313	17.0103341050886	18.1914016099313	13.7513530586813	17.1902382564286	13.7513530586813	17.1902382564286
Hand2	16.0653155436948	21.6564304880134	16.0653155436948	21.6564304880134	18.9081104556868	17.1902382564286	18.9081104556868	17.1902382564286
Nr3c2	17.0103341050886	19.0576588294518	17.0103341050886	19.0576588294518	18.9081104556868	14.4398001354	18.9081104556868	14.4398001354
Zfp524	27.4055382804206	27.7202310246572	27.4055382804206	27.7202310246572	27.5027061173626	25.4415526195143	27.5027061173626	25.4415526195143
Neurog2	19.8453897892701	23.3889449270545	19.8453897892701	23.3889449270545	24.0648678526922	23.3787240287429	24.0648678526922	23.3787240287429
Rfx5	29.2955754032082	24.255202146575	29.2955754032082	24.255202146575	34.3783826467032	33.0052574523429	34.3783826467032	33.0052574523429
Hoxa9	17.0103341050886	15.5926299513696	17.0103341050886	15.5926299513696	13.7513530586813	15.1274096656572	13.7513530586813	15.1274096656572
Irf4	21.7354269120577	23.3889449270545	21.7354269120577	23.3889449270545	22.3459487203571	26.1291621497714	22.3459487203571	26.1291621497714
Irf5	20.7904083506639	25.1214593660955	20.7904083506639	25.1214593660955	22.3459487203571	26.8167716800286	22.3459487203571	26.8167716800286
Irf6	32.1306310873897	27.7202310246572	32.1306310873897	27.7202310246572	30.9405443820329	35.7556955733715	30.9405443820329	35.7556955733715
Nr1i3	18.9003712278763	20.7901732684929	18.9003712278763	20.7901732684929	18.9081104556868	19.9406763774572	18.9081104556868	19.9406763774572
Rorb	22.6804454734515	23.3889449270545	22.6804454734515	23.3889449270545	22.3459487203571	20.6282859077143	22.3459487203571	20.6282859077143
Barx1	17.9553526664825	21.6564304880134	17.9553526664825	21.6564304880134	17.1891913233516	12.3769715446286	17.1891913233516	12.3769715446286
Hoxb4	16.0653155436948	14.7263727318491	16.0653155436948	14.7263727318491	13.7513530586813	14.4398001354	13.7513530586813	14.4398001354
Isl1	16.0653155436948	14.7263727318491	16.0653155436948	14.7263727318491	13.7513530586813	12.3769715446286	13.7513530586813	12.3769715446286
Obox1	20.7904083506639	24.255202146575	20.7904083506639	24.255202146575	18.9081104556868	15.1274096656572	18.9081104556868	15.1274096656572
Obox5	19.8453897892701	25.1214593660955	19.8453897892701	25.1214593660955	17.1891913233516	14.4398001354	17.1891913233516	14.4398001354
Obox6	20.7904083506639	25.9877165856161	20.7904083506639	25.9877165856161	18.9081104556868	15.1274096656572	18.9081104556868	15.1274096656572
Obox7	19.8453897892701	25.1214593660955	19.8453897892701	25.1214593660955	17.1891913233516	14.4398001354	17.1891913233516	14.4398001354
Obox8	20.7904083506639	25.9877165856161	20.7904083506639	25.9877165856161	18.9081104556868	15.1274096656572	18.9081104556868	15.1274096656572
Zfp276	23.6254640348453	19.9239160489723	23.6254640348453	19.9239160489723	22.3459487203571	19.2530668472	22.3459487203571	19.2530668472
Ahr	44.4158723855092	26.8539738051366	44.4158723855092	26.8539738051366	37.8162209113735	40.5689622851715	37.8162209113735	40.5689622851715
Zkscan5	24.5704825962392	23.3889449270545	24.5704825962392	23.3889449270545	27.5027061173626	28.8796002708	27.5027061173626	28.8796002708
Crem	48.1959466310845	39.8478320979447	48.1959466310845	39.8478320979447	56.7243313670603	61.8848577231429	56.7243313670603	61.8848577231429
Dbp	20.7904083506639	22.5226877075339	20.7904083506639	22.5226877075339	15.4702721910164	24.066333559	15.4702721910164	24.066333559
E2f5	39.6907795785402	32.9177743417804	39.6907795785402	32.9177743417804	44.6918974407142	41.9441813456857	44.6918974407142	41.9441813456857
Gcm2	34.0206682101773	28.5864882441777	34.0206682101773	28.5864882441777	29.2216252496977	35.7556955733715	29.2216252496977	35.7556955733715
Gmeb1	41.5808167013278	29.4527454636982	41.5808167013278	29.4527454636982	42.972978308379	44.0070099364572	42.972978308379	44.0070099364572
Hlf	16.0653155436948	19.0576588294518	16.0653155436948	19.0576588294518	12.0324339263461	15.1274096656572	12.0324339263461	15.1274096656572
Jdp2	45.3608909469031	38.9815748784241	45.3608909469031	38.9815748784241	60.1621696317306	57.7592005416	60.1621696317306	57.7592005416
Kdm2a	17.9553526664825	15.5926299513696	17.9553526664825	15.5926299513696	12.0324339263461	19.2530668472	12.0324339263461	19.2530668472
Mecom	18.9003712278763	19.9239160489723	18.9003712278763	19.9239160489723	15.4702721910164	14.4398001354	15.4702721910164	14.4398001354
Nfil3	22.6804454734515	20.7901732684929	22.6804454734515	20.7901732684929	25.7837869850274	24.066333559	25.7837869850274	24.066333559
Onecut2	12.2852412981196	12.993858292808	12.2852412981196	12.993858292808	8.5945956616758	9.62653342360001	8.5945956616758	9.62653342360001
Onecut3	12.2852412981196	12.993858292808	12.2852412981196	12.993858292808	8.5945956616758	10.3141429538572	8.5945956616758	10.3141429538572
