gene	AtoB_rep1	AtoB_rep2	AtoB_rep3	AtoB_rep4	BtoA_rep1	BtoA_rep2	BtoA_rep3	BtoA_rep4
Zscan26	47.4649508320401	34.1980345441719	37.351380330915	33.5732106657754	36.6813088461058	33.3687356118253	40.0835051009637	35.0933712280763
Hand1	44.4352731193567	45.9230749593165	46.1977598829738	45.0840257511841	48.2097201977391	46.5139950952716	47.0981184936324	47.1253842205596
Nkx22	49.484735973829	42.9918148555304	43.2489666989542	43.1655565702827	47.1616828021361	45.5028212888527	50.1043813762046	46.122716471186
Nkx23	43.4253805484622	39.0834680504821	39.3172424535947	39.3286182084798	45.06560801093	45.5028212888527	50.1043813762046	47.1253842205596
Nkx24	50.4946285447235	43.9689015567924	44.231897760294	44.1247911607334	48.2097201977391	47.5251689016906	51.1064690037287	50.1333874686805
Nkx26	50.4946285447235	43.9689015567924	44.231897760294	44.1247911607334	49.2577575933421	49.5475165145285	53.1106442587769	52.1387229674277
Nkx29	43.4253805484622	36.152207946696	39.3172424535947	38.369383618029	42.969533219724	40.4469522567579	47.0981184936324	41.109377724318
Osr2	51.504521115618	48.8543350631027	48.1636220056535	45.0840257511841	42.969533219724	42.4692998695958	44.0918556110601	43.1147132230652
Rfx4	51.504521115618	50.8085084656268	56.0270704963724	52.7579024747899	58.6900941537693	62.6927759979748	58.1210823963974	64.170735959911
Six1	45.4451656902511	51.7855951668888	43.2489666989542	50.8394332938885	39.8254210329149	38.42460464392	41.0855927284878	38.1013744761972
Six2	43.4253805484622	47.8772483618406	41.2831045762744	47.0024949320856	35.6332714505028	32.3575618054063	37.0772422183914	33.0880357293291
Six3	46.4550582611456	47.8772483618406	43.2489666989542	50.8394332938885	48.2097201977391	46.5139950952716	50.1043813762046	49.1307197193069
Six4	41.4055954066733	44.9459882580545	40.3001735149346	45.0840257511841	35.6332714505028	32.3575618054063	37.0772422183914	33.0880357293291
Six6	41.4055954066733	44.9459882580545	40.3001735149346	45.0840257511841	38.7773836373119	36.4022570310821	40.0835051009637	36.0960389774499
T	41.4055954066733	38.1063813492201	43.2489666989542	39.3286182084798	41.921495824121	38.42460464392	43.089767983536	40.1067099749444
Tfdp1	71.7023725335073	72.304415893392	65.8563811097711	67.1464213315508	72.3145802966087	74.8268616750021	68.1419586716383	72.1920779548999
Tfdp2	71.7023725335073	72.304415893392	65.8563811097711	67.1464213315508	72.3145802966087	74.8268616750021	68.1419586716383	72.1920779548999
Zfp768	46.4550582611456	47.8772483618406	46.1977598829738	47.0024949320856	47.1616828021361	47.5251689016906	49.1022937486806	47.1253842205596
Zfp784	42.4154879775677	39.0834680504821	40.3001735149346	39.3286182084798	42.969533219724	42.4692998695958	44.0918556110601	40.1067099749444
Zfp787	42.4154879775677	38.1063813492201	41.2831045762744	38.369383618029	52.4018697801512	52.5810379337853	50.1043813762046	54.1440584661749
Dnajc21	51.504521115618	52.7626818681509	48.1636220056535	48.920964112987	55.5459819669603	57.63690696588	54.112731886301	56.1493939649221
Elf1	70.6924799626129	84.0294563085366	66.839312171111	78.6572364169595	73.3626176922117	89.9944687712864	72.1503091817347	88.2347619448776
Esrra	59.5836616827737	66.4418956858196	57.9929326190522	62.3502483792972	44.017570615327	41.4581260631769	45.0939432385842	41.109377724318
Esrrb	58.5737691118792	62.5335488807714	56.0270704963724	59.472544607945	45.06560801093	44.4916474824337	47.0981184936324	44.1173809724388
Rfx6	48.4748434029345	48.8543350631027	50.1294841283332	47.9617295225363	62.8822437361814	67.7486450300695	63.1315205340178	69.184074706779
Trp63	48.4748434029345	46.9001616605786	50.1294841283332	48.920964112987	64.9783185273875	67.7486450300695	64.1336081615419	69.184074706779
Zfp110	46.4550582611456	46.9001616605786	47.1806909443136	44.1247911607334	46.1136454065331	46.5139950952716	48.1002061211565	47.1253842205596
Zfp202	62.6133393954571	66.4418956858196	58.9758636803921	65.2279521506494	56.5940193625633	58.648080772299	54.112731886301	54.1440584661749
Zfp282	57.5638765409848	53.739768569413	55.0441394350326	53.7171370652407	47.1616828021361	49.5475165145285	47.0981184936324	48.1280519699332
Zfp41	44.4352731193567	41.0376414530063	44.231897760294	46.0432603416349	53.4499071757542	52.5810379337853	51.1064690037287	52.1387229674277
Atf1	79.7815131006631	100.639930229992	69.7881053551306	105.51580494958	70.2185055054026	79.8827307070969	72.1503091817347	92.245432942372
Atf2	52.5144136865124	59.6022887769853	53.0782773123528	62.3502483792972	73.3626176922117	95.0503378033811	72.1503091817347	110.293452431097
Atf3	47.4649508320401	47.8772483618406	47.1806909443136	50.8394332938885	69.1704681097996	84.9385997391916	72.1503091817347	94.2507684411193
Creb1	82.8111908133465	103.571190333778	76.6686227845097	103.597335768678	82.7949542526389	111.229118706084	82.1711854569756	126.336136421075
Creb3	70.6924799626129	92.8232366198951	67.8222432324509	94.9642244546219	79.6508420658298	107.184423480408	80.1670102019274	121.322797674207
Creb5	58.5737691118792	68.3960690883438	57.0100015577123	70.9833596933537	78.6028046702268	105.162075867571	78.1628349468792	124.330800922328
Crem	74.7320502461908	97.7086701262054	66.839312171111	92.0865206832697	82.7949542526389	115.27381393176	84.1753607120238	135.360146165437
Elf2	69.6825873917184	91.846149918633	67.8222432324509	83.4534093692132	76.5067298790208	102.128554448314	75.156572064307	99.2641071879873
Elf4	66.652909679035	88.9148898148469	64.8734500484313	80.575705597861	74.4106550878147	98.083859222638	73.1523968092588	95.2534361904929
Elk1	66.652909679035	82.0752829060125	63.8905189870914	76.7387672360581	78.6028046702268	101.117380641895	77.1607473193552	98.2614394386137
Elk3	67.6628022499295	93.8003233211572	65.8563811097711	80.575705597861	81.7469168570359	107.184423480408	80.1670102019274	103.274778185482
Elk4	61.6034468245627	72.304415893392	57.9929326190522	66.1871867411001	71.2665429010056	84.9385997391916	69.1440462991624	83.2214231980096
Erf	59.5836616827737	74.2585892959161	57.0100015577123	70.9833596933537	75.4586924834177	99.0950330290569	75.156572064307	96.2561039398665
Ets1	62.6133393954571	80.1211095034884	59.9587947417319	70.9833596933537	76.5067298790208	99.0950330290569	74.1544844367829	96.2561039398665
Etv1	72.7122651044018	102.594103632516	70.7710364164705	87.2903477310161	79.6508420658298	104.150902061152	78.1628349468792	100.266774937361
Etv3	69.6825873917184	94.7774100224192	65.8563811097711	83.4534093692132	80.6988794614329	108.195597286827	78.1628349468792	104.277445934855
Etv4	69.6825873917184	98.6857568274674	67.8222432324509	84.4126439596639	79.6508420658298	105.162075867571	78.1628349468792	102.272110436108
Etv5	69.6825873917184	99.6628435287295	67.8222432324509	85.3718785501146	81.7469168570359	109.206771093246	80.1670102019274	105.280113684229
Etv6	60.5935542536682	78.1669361009643	57.9929326190522	70.024125102903	79.6508420658298	107.184423480408	77.1607473193552	103.274778185482
Fli1	63.6232319663516	84.0294563085366	61.9246568644117	73.8610634647059	77.5547672746238	100.106206835476	76.1586596918311	97.2587716892401
Foxb1	57.5638765409848	52.7626818681509	57.0100015577123	49.8801987034378	55.5459819669603	50.5586903209474	55.1148195138251	50.1333874686805
Foxb2	57.5638765409848	52.7626818681509	57.0100015577123	49.8801987034378	55.5459819669603	50.5586903209474	55.1148195138251	50.1333874686805
Gabpa	65.6430171081405	88.9148898148469	63.8905189870914	77.6980018265088	80.6988794614329	106.17324967399	79.1649225744033	102.272110436108
Gm28047	55.5440913991958	64.4877222832955	54.0612083736927	66.1871867411001	71.2665429010056	92.0168163841243	72.1503091817347	105.280113684229
Hmg20a	64.6331245372461	58.6252020757232	61.9246568644117	61.3910137888465	52.4018697801512	47.5251689016906	51.1064690037287	48.1280519699332
Hmg20b	64.6331245372461	58.6252020757232	61.9246568644117	61.3910137888465	52.4018697801512	47.5251689016906	51.1064690037287	48.1280519699332
Hoxc9	62.6133393954571	61.5564621795094	62.9075879257515	59.472544607945	55.5459819669603	52.5810379337853	57.1189947688733	52.1387229674277
Jdp2	67.6628022499295	87.9378031135848	61.9246568644117	89.2088169119175	84.8910290438449	114.262640125341	85.1774483395479	135.360146165437
Meis2	49.484735973829	50.8085084656268	53.0782773123528	53.7171370652407	53.4499071757542	49.5475165145285	51.1064690037287	52.1387229674277
Meis3	49.484735973829	50.8085084656268	53.0782773123528	53.7171370652407	53.4499071757542	49.5475165145285	51.1064690037287	52.1387229674277
Nhlh2	49.484735973829	51.7855951668888	50.1294841283332	51.7986678843392	51.3538323845482	50.5586903209474	51.1064690037287	49.1307197193069
Nr1i2	42.4154879775677	40.0605547517442	39.3172424535947	40.2878527989305	37.7293462417089	35.3910832246632	38.0793298459155	36.0960389774499
Onecut3	66.652909679035	65.4648089845576	66.839312171111	69.0648905124523	51.3538323845482	45.5028212888527	54.112731886301	45.1200487218124
Pbx1	49.484735973829	46.9001616605786	51.1124151896731	47.9617295225363	53.4499071757542	51.5698641273663	56.1169071413492	49.1307197193069
Pbx3	101.999149660341	112.364970645136	94.3613818886273	117.026620034989	124.71645007676	147.631375737166	118.246340047843	155.413501152909
Pbx4	50.4946285447235	54.716855270675	53.0782773123528	55.6356062461421	58.6900941537693	57.63690696588	56.1169071413492	58.1547294636693
Pknox2	48.4748434029345	48.8543350631027	49.1465530669934	48.920964112987	50.3057949889452	47.5251689016906	48.1002061211565	48.1280519699332
Prdm6	57.5638765409848	58.6252020757232	59.9587947417319	58.5133100174943	56.5940193625633	54.6033855466232	58.1210823963974	54.1440584661749
Rarg	38.3759176939898	41.0376414530063	41.2831045762744	46.0432603416349	48.2097201977391	48.5363427081095	49.1022937486806	48.1280519699332
Spic	54.5341988283014	55.6939419719371	54.0612083736927	58.5133100174943	62.8822437361814	72.8045140621643	62.1294329064938	72.1920779548999
Tcf7	55.5440913991958	54.716855270675	57.0100015577123	58.5133100174943	45.06560801093	40.4469522567579	47.0981184936324	40.1067099749444
Vdr	42.4154879775677	38.1063813492201	44.231897760294	39.3286182084798	50.3057949889452	48.5363427081095	49.1022937486806	48.1280519699332
Zfp105	62.6133393954571	59.6022887769853	61.9246568644117	60.4317791983957	57.6420567581663	52.5810379337853	58.1210823963974	52.1387229674277
Zfp182	68.6726948208239	70.3502424908679	69.7881053551306	70.9833596933537	62.8822437361814	63.7039498043937	64.1336081615419	62.1654004611638
Zfp324	47.4649508320401	48.8543350631027	48.1636220056535	47.9617295225363	50.3057949889452	49.5475165145285	50.1043813762046	49.1307197193069
Zfp384	68.6726948208239	71.3273291921299	71.7539674778103	69.0648905124523	57.6420567581663	55.6145593530421	59.1231700239215	54.1440584661749
Zfp422	93.9200090931857	103.571190333778	96.327244011307	98.8011628164248	84.8910290438449	88.9832949648674	85.1774483395479	86.2294264461304
Zfp641	61.6034468245627	69.3731557896058	61.9246568644117	60.4317791983957	67.0743933185935	79.8827307070969	64.1336081615419	77.2054167017679
Zfp652	54.5341988283014	61.5564621795094	60.9417258030718	63.3094829697479	52.4018697801512	48.5363427081095	51.1064690037287	50.1333874686805
Zfp879	65.6430171081405	63.5106355820335	64.8734500484313	63.3094829697479	58.6900941537693	55.6145593530421	59.1231700239215	55.1467262155485
Ahctf1	83.821083384241	85.9836297110607	82.5662091525489	81.5349401883117	64.9783185273875	61.6816021915558	67.1398710441142	59.1573972130429
Atf7	72.7122651044018	95.7544967236813	66.839312171111	94.0049898641712	81.7469168570359	111.229118706084	81.1690978294515	132.352142917316
Foxc1	61.6034468245627	56.6710286731991	61.9246568644117	52.7579024747899	52.4018697801512	47.5251689016906	53.1106442587769	47.1253842205596
Foxc2	62.6133393954571	58.6252020757232	61.9246568644117	55.6356062461421	52.4018697801512	47.5251689016906	53.1106442587769	47.1253842205596
Gata3	48.4748434029345	47.8772483618406	53.0782773123528	49.8801987034378	47.1616828021361	44.4916474824337	47.0981184936324	45.1200487218124
Hmga1	80.7914056715576	82.0752829060125	79.6174159685293	77.6980018265088	66.0263559229905	62.6927759979748	69.1440462991624	60.1600649624166
Hmga1rs1	80.7914056715576	82.0752829060125	79.6174159685293	77.6980018265088	66.0263559229905	62.6927759979748	69.1440462991624	60.1600649624166
Hsf1	50.4946285447235	48.8543350631027	47.1806909443136	47.0024949320856	51.3538323845482	50.5586903209474	50.1043813762046	49.1307197193069
Lef1	58.5737691118792	55.6939419719371	61.9246568644117	56.5948408365928	37.7293462417089	35.3910832246632	41.0855927284878	36.0960389774499
Pou4f1	53.5243062574069	49.8314217643647	52.095346251013	48.920964112987	57.6420567581663	53.5922117402042	57.1189947688733	52.1387229674277
Tcf7l1	50.4946285447235	47.8772483618406	56.0270704963724	49.8801987034378	41.921495824121	40.4469522567579	43.089767983536	38.1013744761972
Tcf7l2	58.5737691118792	55.6939419719371	61.9246568644117	56.5948408365928	36.6813088461058	35.3910832246632	40.0835051009637	35.0933712280763
Trp73	49.484735973829	47.8772483618406	48.1636220056535	48.920964112987	70.2185055054026	68.7598188364885	69.1440462991624	69.184074706779
Zbtb43	46.4550582611456	49.8314217643647	47.1806909443136	47.0024949320856	48.2097201977391	47.5251689016906	47.0981184936324	44.1173809724388
Arid3b	47.4649508320401	53.739768569413	53.0782773123528	52.7579024747899	58.6900941537693	57.63690696588	61.1273452789697	58.1547294636693
Foxn1	65.6430171081405	71.3273291921299	59.9587947417319	75.7795326456074	70.2185055054026	78.8715569006779	68.1419586716383	81.2160876992623
Glis2	49.484735973829	51.7855951668888	49.1465530669934	48.920964112987	51.3538323845482	55.6145593530421	51.1064690037287	53.1413907168013
Irf3	45.4451656902511	40.0605547517442	45.2148288216339	43.1655565702827	45.06560801093	42.4692998695958	46.0960308661083	43.1147132230652
Irf8	50.4946285447235	49.8314217643647	52.095346251013	52.7579024747899	54.4979445713573	56.6257331594611	56.1169071413492	57.1520617142957
Neurod1	43.4253805484622	40.0605547517442	46.1977598829738	41.2470873893812	47.1616828021361	44.4916474824337	45.0939432385842	43.1147132230652
Neurod2	43.4253805484622	41.0376414530063	44.231897760294	42.2063219798319	48.2097201977391	43.4804736760148	46.0960308661083	43.1147132230652
Neurog2	42.4154879775677	39.0834680504821	43.2489666989542	41.2470873893812	48.2097201977391	43.4804736760148	45.0939432385842	42.1120454736916
Nfia	55.5440913991958	70.3502424908679	60.9417258030718	71.9425942838045	55.5459819669603	70.7821664493264	61.1273452789697	70.1867424561526
Prdm1	47.4649508320401	43.9689015567924	48.1636220056535	44.1247911607334	49.2577575933421	50.5586903209474	51.1064690037287	49.1307197193069
Rhox11	35.3462399813064	36.152207946696	37.351380330915	38.369383618029	57.6420567581663	62.6927759979748	58.1210823963974	62.1654004611638
Stat3	40.3957028357788	38.1063813492201	41.2831045762744	36.4509144371276	51.3538323845482	52.5810379337853	53.1106442587769	55.1467262155485
Stat4	45.4451656902511	41.0376414530063	43.2489666989542	41.2470873893812	50.3057949889452	50.5586903209474	52.1085566312528	52.1387229674277
Zbtb7a	62.6133393954571	59.6022887769853	60.9417258030718	54.6763716556914	58.6900941537693	57.63690696588	56.1169071413492	56.1493939649221
Zbtb7b	61.6034468245627	68.3960690883438	57.0100015577123	64.2687175601987	64.9783185273875	67.7486450300695	63.1315205340178	68.1814069574054
Zfp322a	51.504521115618	51.7855951668888	49.1465530669934	51.7986678843392	51.3538323845482	51.5698641273663	50.1043813762046	50.1333874686805
Zic5	56.5539839700903	59.6022887769853	54.0612083736927	53.7171370652407	58.6900941537693	58.648080772299	56.1169071413492	57.1520617142957
Ar	46.4550582611456	42.9918148555304	45.2148288216339	46.0432603416349	47.1616828021361	44.4916474824337	47.0981184936324	45.1200487218124
Bcl6	52.5144136865124	50.8085084656268	49.1465530669934	55.6356062461421	49.2577575933421	50.5586903209474	51.1064690037287	50.1333874686805
Hbp1	51.504521115618	49.8314217643647	54.0612083736927	52.7579024747899	49.2577575933421	46.5139950952716	48.1002061211565	46.122716471186
Nr1d1	46.4550582611456	42.0147281542683	44.231897760294	42.2063219798319	49.2577575933421	49.5475165145285	49.1022937486806	49.1307197193069
Pou4f3	47.4649508320401	52.7626818681509	53.0782773123528	51.7986678843392	48.2097201977391	43.4804736760148	49.1022937486806	43.1147132230652
Rel	52.5144136865124	54.716855270675	53.0782773123528	55.6356062461421	48.2097201977391	48.5363427081095	50.1043813762046	47.1253842205596
Rxrg	48.4748434029345	51.7855951668888	48.1636220056535	51.7986678843392	52.4018697801512	53.5922117402042	52.1085566312528	52.1387229674277
Smad4	46.4550582611456	42.0147281542683	46.1977598829738	44.1247911607334	42.969533219724	43.4804736760148	44.0918556110601	44.1173809724388
Sox2	52.5144136865124	51.7855951668888	55.0441394350326	53.7171370652407	44.017570615327	40.4469522567579	47.0981184936324	40.1067099749444
Stat5a	40.3957028357788	37.129294647958	40.3001735149346	37.4101490275783	49.2577575933421	47.5251689016906	50.1043813762046	49.1307197193069
Stat5b	41.4055954066733	39.0834680504821	41.2831045762744	38.369383618029	49.2577575933421	47.5251689016906	50.1043813762046	49.1307197193069
Tbx18	50.4946285447235	50.8085084656268	53.0782773123528	49.8801987034378	49.2577575933421	51.5698641273663	50.1043813762046	49.1307197193069
Tbx21	46.4550582611456	43.9689015567924	48.1636220056535	44.1247911607334	47.1616828021361	49.5475165145285	46.0960308661083	48.1280519699332
Zzz3	46.4550582611456	42.9918148555304	48.1636220056535	43.1655565702827	45.06560801093	43.4804736760148	46.0960308661083	44.1173809724388
