ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	richFactor	BgRatio_num	GeneRatio_num
GO:0071695	anatomical structure maturation	12/452	317/28891	0.00451892012177625	0.0454456804679174	0.0366141806737376	Pmp22/Epha8/Fbxo5/Phospho1/Aurka/Fgfr3/Ccnb1/Kif14/Shb/Actn3/Lgi4/Pdgfb	12	0.0378548895899054	317	12
GO:0072678	T cell migration	5/452	69/28891	0.00453440222475739	0.0454784654402217	0.0366405945130062	Spns2/Cxcl12/Spn/Cd200/Dock8	5	0.072463768115942	69	5
GO:0050921	positive regulation of chemotaxis	8/452	165/28891	0.00459150688088992	0.0459274115693316	0.0370022965386941	Gas6/Dapk2/Cxcl12/Pdgfra/Sema5a/Rarres2/Pdgfd/Pdgfb	8	0.0484848484848485	165	8
GO:0046599	regulation of centriole replication	3/452	22/28891	0.00469597967855304	0.0465569139379294	0.0375094671481133	Kat2b/Stil/Mdm1	3	0.136363636363636	22	3
GO:0051447	negative regulation of meiotic cell cycle	3/452	22/28891	0.00469597967855304	0.0465569139379294	0.0375094671481133	Fbxo5/Pkmyt1/Ttk	3	0.136363636363636	22	3
GO:0061760	antifungal innate immune response	3/452	22/28891	0.00469597967855304	0.0465569139379294	0.0375094671481133	Plcg2/Rarres2/Pla2g5	3	0.136363636363636	22	3
GO:0032970	regulation of actin filament-based process	14/452	402/28891	0.00472351776997358	0.0465569139379294	0.0375094671481133	Eln/Synpo/Stmn1/Rhpn2/Fxyd1/Sema5a/Prex1/Ect2/Sh3bp1/Arhgap18/Ppm1e/Pde4b/Wnt4/Jup	14	0.0348258706467662	402	14
GO:0052548	regulation of endopeptidase activity	13/452	360/28891	0.00472895006645692	0.0465569139379294	0.0375094671481133	Cst3/Gas6/Timp4/Birc5/Ift57/Fetub/Wnt9a/Cdkn2d/Arrb1/Serpinb8/Serping1/Map3k5/Mbp	13	0.0361111111111111	360	13
GO:0071902	positive regulation of protein serine/threonine kinase activity	9/452	202/28891	0.00472951181632285	0.0465569139379294	0.0375094671481133	Cdc6/Map2k6/Irgm2/Higd1a/Pdgfd/Stil/Map3k5/Pdgfb/Kitl	9	0.0445544554455446	202	9
GO:2000045	regulation of G1/S transition of mitotic cell cycle	8/452	166/28891	0.00475991941307904	0.0467177753857169	0.0376390682466574	E2f1/Rrm2/Bcl7a/Kif14/Cdkn2d/Haspin/Stil/E2f7	8	0.0481927710843374	166	8
GO:0030595	leukocyte chemotaxis	10/452	240/28891	0.00477096335570342	0.0467177753857169	0.0376390682466574	Gas6/Nbl1/Dapk2/Cxcl12/Spp1/Prex1/Rarres2/Rin3/Pde4b/Pdgfb	10	0.0416666666666667	240	10
GO:0009994	oocyte differentiation	5/452	70/28891	0.00482175272810925	0.0470080021144226	0.0378728949551975	Fbxo5/Aurka/Ccnb1/Shb/Wnt4	5	0.0714285714285714	70	5
GO:0046879	hormone secretion	14/452	403/28891	0.00482586853203693	0.0470080021144226	0.0378728949551975	Cpe/Birc5/Lrp5/Bglap2/Vdr/Spp1/Pfkl/Camk2n1/Apln/Rapgef4/Arrb1/Tfr2/Mafa/Foxd1	14	0.0347394540942928	403	14
GO:0035886	vascular associated smooth muscle cell differentiation	4/452	44/28891	0.00489624953630903	0.0474451680328278	0.0382251060290792	Cfh/Smad6/Comp/Pdgfb	4	0.0909090909090909	44	4
GO:0106056	regulation of calcineurin-mediated signaling	4/452	44/28891	0.00489624953630903	0.0474451680328278	0.0382251060290792	Fhl2/Plcg2/Cmya5/Actn3	4	0.0909090909090909	44	4
GO:0051100	negative regulation of binding	8/452	168/28891	0.00511091840028911	0.0492459604713281	0.039675948859911	Aurkb/E2f1/Habp4/Tex14/Aurka/Nek2/Slpi/Pdgfb	8	0.0476190476190476	168	8
GO:2000377	regulation of reactive oxygen species metabolic process	8/452	168/28891	0.00511091840028911	0.0492459604713281	0.039675948859911	Bnip3/Plcg2/Hvcn1/Pid1/Foxm1/Brca1/Dhfr/Pdgfb	8	0.0476190476190476	168	8
GO:0045143	homologous chromosome segregation	5/452	71/28891	0.00512179164267777	0.0492459604713281	0.039675948859911	Plk1/Fancd2/Haspin/Brip1/Mnd1	5	0.0704225352112676	71	5
